monitor_id,scope,scope_value,root,timeframe,variant,filter,slippage_ticks_per_side,slippage_cost_dollars_per_trade,trades,days,weeks,net_dollars,profit_factor,max_drawdown_dollars,win_rate,largest_winner,largest_winner_share,net_without_largest,status,status_reasons
databento_style_15m_ema_month_or_week_down,week,2026-05-18/2026-05-24,MNQ,15,ema_pullback_trend,month_trend == 'down' OR week_trend == 'down'.,1.0,1.0,11,1,1,-912.9971428571378,0.4406937484575512,729.8999999999928,18.181818181818183,408.6171428571449,,-1321.6142857142827,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
databento_style_15m_ema_month_or_week_down,week,2026-06-01/2026-06-07,MNQ,15,ema_pullback_trend,month_trend == 'down' OR week_trend == 'down'.,1.0,1.0,1,1,1,-203.5971428571449,0.0,0.0,0.0,-203.5971428571449,,0.0,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
databento_style_15m_ema_month_or_week_down,month,2026-04,MNQ,15,ema_pullback_trend,month_trend == 'down' OR week_trend == 'down'.,1.0,1.0,10,3,1,-192.57857142857245,0.5867653324913628,305.44000000000005,20.0,138.0457142857174,,-330.62428571428984,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
databento_style_15m_ema_month_or_week_down,month,2026-05,MNQ,15,ema_pullback_trend,month_trend == 'down' OR week_trend == 'down'.,1.0,1.0,11,1,1,-912.9971428571378,0.4406937484575512,729.8999999999928,18.181818181818183,408.6171428571449,,-1321.6142857142827,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
databento_style_15m_ema_month_or_week_down,month,2026-06,MNQ,15,ema_pullback_trend,month_trend == 'down' OR week_trend == 'down'.,1.0,1.0,1,1,1,-203.5971428571449,0.0,0.0,0.0,-203.5971428571449,,0.0,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
databento_style_15m_ema_month_or_week_down,full,all,MNQ,15,ema_pullback_trend,month_trend == 'down' OR week_trend == 'down'.,2.0,2.0,22,5,3,-1331.1728571428553,0.4262182427452246,1440.0342857142828,18.181818181818183,407.6171428571449,,-1738.7900000000002,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
databento_style_15m_ema_month_or_week_down,week,2026-03-30/2026-04-05,MNQ,15,ema_pullback_trend,month_trend == 'down' OR week_trend == 'down'.,2.0,2.0,10,3,1,-202.57857142857245,0.5726435195091296,311.44000000000005,20.0,137.0457142857174,,-339.62428571428984,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
databento_style_15m_ema_month_or_week_down,week,2026-05-18/2026-05-24,MNQ,15,ema_pullback_trend,month_trend == 'down' OR week_trend == 'down'.,2.0,2.0,11,1,1,-923.9971428571378,0.4370588409364299,739.8999999999928,18.181818181818183,407.6171428571449,,-1331.6142857142827,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
databento_style_15m_ema_month_or_week_down,week,2026-06-01/2026-06-07,MNQ,15,ema_pullback_trend,month_trend == 'down' OR week_trend == 'down'.,2.0,2.0,1,1,1,-204.5971428571449,0.0,0.0,0.0,-204.5971428571449,,0.0,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
databento_style_15m_ema_month_or_week_down,month,2026-04,MNQ,15,ema_pullback_trend,month_trend == 'down' OR week_trend == 'down'.,2.0,2.0,10,3,1,-202.57857142857245,0.5726435195091296,311.44000000000005,20.0,137.0457142857174,,-339.62428571428984,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
databento_style_15m_ema_month_or_week_down,month,2026-05,MNQ,15,ema_pullback_trend,month_trend == 'down' OR week_trend == 'down'.,2.0,2.0,11,1,1,-923.9971428571378,0.4370588409364299,739.8999999999928,18.181818181818183,407.6171428571449,,-1331.6142857142827,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
databento_style_15m_ema_month_or_week_down,month,2026-06,MNQ,15,ema_pullback_trend,month_trend == 'down' OR week_trend == 'down'.,2.0,2.0,1,1,1,-204.5971428571449,0.0,0.0,0.0,-204.5971428571449,,0.0,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
