root,session_date,timestamp_first,timestamp_last,open,high,low,close,volume,source_label,source_path,tr,close_to_close_return_points,trendiness,signed_trendiness,prior_day_tr,atr20,range_ratio,state,state_next,range_ratio_bin
NQ,2023-04-14,2023-04-14 04:00:00+00:00,2023-04-14 20:59:00+00:00,13198.5,13255.0,13058.0,13199.5,597898,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,197.0,1.25,0.005076142131979695,0.005076142131979695,270.75,200.0125,1.3536653959127556,expansion,neutral,gt_1_3
NQ,2023-04-16,2023-04-16 22:00:00+00:00,2023-04-17 03:59:00+00:00,13212.5,13214.75,13174.0,13182.25,17630,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,40.75,-17.25,0.7423312883435583,-0.7423312883435583,197.0,189.6625,1.0386871416331642,neutral,compression,0_9_to_1_1
NQ,2023-04-17,2023-04-17 04:00:00+00:00,2023-04-18 03:59:00+00:00,13181.5,13218.0,13076.75,13169.25,534050,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,141.25,-13.0,0.08672566371681416,-0.08672566371681416,40.75,176.825,0.23045383854093032,compression,neutral,lt_0_7
NQ,2023-04-18,2023-04-18 04:00:00+00:00,2023-04-19 03:59:00+00:00,13168.75,13298.75,13138.0,13171.25,566417,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,160.75,2.0,0.015552099533437015,0.015552099533437015,141.25,174.05,0.8115484056305659,neutral,neutral,0_7_to_0_9
NQ,2023-04-19,2023-04-19 04:00:00+00:00,2023-04-20 03:59:00+00:00,13171.0,13226.75,13065.0,13140.5,534712,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,161.75,-30.75,0.18856259659969088,-0.18856259659969088,160.75,179.15,0.8972927714205973,neutral,neutral,0_7_to_0_9
NQ,2023-04-20,2023-04-20 04:00:00+00:00,2023-04-21 03:59:00+00:00,13140.75,13200.0,13021.75,13093.0,666573,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,178.25,-47.5,0.26788218793828894,-0.26788218793828894,161.75,176.2875,0.9175352761823726,neutral,neutral,0_9_to_1_1
NQ,2023-04-21,2023-04-21 04:00:00+00:00,2023-04-21 20:59:00+00:00,13092.5,13122.0,12982.5,13076.0,572010,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,139.5,-17.0,0.11827956989247312,-0.11827956989247312,178.25,175.2375,1.0171909551323204,neutral,neutral,0_9_to_1_1
NQ,2023-04-23,2023-04-23 22:00:00+00:00,2023-04-24 03:59:00+00:00,13070.0,13074.75,13046.25,13052.0,17057,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,28.5,-24.0,0.631578947368421,-0.631578947368421,139.5,171.125,0.8151935719503287,neutral,compression,0_7_to_0_9
NQ,2023-04-24,2023-04-24 04:00:00+00:00,2023-04-25 03:59:00+00:00,13051.75,13134.0,12967.25,13012.0,575658,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,166.75,-40.0,0.2383808095952024,-0.2383808095952024,28.5,162.7,0.17516902274124155,compression,neutral,lt_0_7
NQ,2023-04-25,2023-04-25 04:00:00+00:00,2023-04-26 03:59:00+00:00,13012.0,13027.25,12800.0,12970.25,712424,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,227.25,-41.75,0.18371837183718373,-0.18371837183718373,166.75,158.3375,1.0531301807847162,neutral,expansion,0_9_to_1_1
